rowlabel	sex	age	livharm1	ethgrp2	educat3	work	yrsarea	resyrago	tenure1	rural2	rubbcomm	vandcomm	poorhou	tcemdiqu2	tcwmdiqu2	causem	walkdark	walkday	homealon	tcviolent	tcsteal	wburgl	wmugged	wcarstol	wfromcar	wraped	wattack	winsult	wraceatt	crimerat	tcarea	tcneigh	bcsvictim	tcindwt
75970260	2	65	1	1	1	2	7	 	1	1	2	2	2		1	5	4	2	1	1.355013609	2.039632559	1	1	1	1	1	1	1	4	3	1.210860014	-1.071687818	0	0.480144918
75978220	2	78	6	1	1	2	7	 	1	1	2	3	3		1	4	4	2	2	-0.396417141	1.182923794	2	2	2	2	3	3	3	4	1	0.645995736	-0.9202407	0	0.57828176
75981060	2	89	6	1	1	2	6	 	1	1	4	4	3		1	4	4	2	2	 	 	2	3	 	 	 	2	3	 	3	-0.85960108	-0.594830632	0	0.332349151
75993140	2	30	5	1	4	1	7	 	2	2	4	4	4		1	5	3	1	1	-0.602308929	-1.297472596	3	4	4	4	4	4	3	4	3	-1.113548875	-0.442951709	0	0.225289971
75993300	1	73	1	1	1	2	7	 	1	2	4	4	4		1	7	2	1	2	 	 	3	4	 	 	4	4	4	4	3	-0.87561667	-0.549401462	0	0.418747246
76002020	2	36	3	1	1	1	7	 	4	1	3	3	3		1	5	2	1	1	 	 	3	4	 	 	3	3	4	4	5	-1.125890374	-0.454744309	0	0.675568879
76003260	2	69	2	1	3	2	7	 	1	1	3	3	4		1	5	2	2	1	 	 	3	2	 	 	2	2	2	4	3	 	 	0	0.389443815
76005060	2	57	5	1	4	2	6	 	4	1	3	4	4		1	4	2	1	2	 	 	3	4	 	 	4	4	4	4	3	-0.961117387	-0.496427506	0	0.433694392
76005180	2	37	1	1	1	1	7	 	2	1	3	4	4		1	3	3	2	2	-1.358341217	0.853365481	2	3	2	3	4	4	4	4	2	1.095151424	-0.8920753	1	0.63858819
76007260	2	60	1	1	4	2	7	 	1	1	4	4	4		1	4	2	1	2	-0.900425076	-1.544810176	4	4	4	4	4	4	4	4	3	0.101199932	-0.585217893	0	0.397660732
76007300	2	92	6	1	1	2	7	 	4	1	4	4	4		1	4	2	1	1	 	 	4	4	 	 	4	3	4	4	2	-0.803792477	-0.690946341	0	0.255533338
76009100	1	35	2	1	3	1	7	 	2	2	 	 	 		1	5	1	1	1	-0.472716928	0.115094498	2	3	3	3	4	2	4	4	5	0.239442691	-0.963059008	0	0.526578903
76009180	2	46	1	1	3	1	7	 	1	2	 	 	 		1	6	3	1	1	0.405663311	0.488157481	3	3	2	2	3	2	2	3	1	1.714584947	-0.460540175	0	0.424584866
76009220	1	33	1	1	2	1	6	 	1	1	 	 	 		1	6	2	2	2	-1.018302798	2.917192698	1	1	1	1	4	3	3	4	4	1.064391851	-0.270721316	1	1.013849616
76009260	2	51	5	1	1	2	7	 	4	1	 	 	 		1	7	2	1	2	1.503990769	0.939908564	1	1	2	2	1	2	1	4	1	0.778496683	3.735598564	1	0.235235393
76009300	2	67	1	1	1	2	7	 	1	1	 	 	 		1	5	3	2	3	0.281896681	0.353844583	2	2	2	3	3	3	3	3	4	-0.209685713	2.506573915	0	0.421596855
76010180	2	51	1	1	1	2	6	 	2	1	3	4	3		1	4	2	1	2	 	 	2	2	 	 	4	3	3	3	3	-1.016170979	0.29032135	0	0.679174066
76011100	1	44	3	1	2	1	7	 	1	2	4	3	3		1	6	1	1	1	0.110784464	-1.266948819	4	3	3	4	3	3	3	4	3	0.081747852	-0.59507829	0	0.526364148
76011140	1	30	1	1	4	1	4	 	2	2	4	4	4		1	4	3	1	2	1.368020892	1.462955832	1	1	1	2	2	1	2	3	3	0.828162611	-0.870249033	1	0.551278591
76011180	1	63	5	1	1	2	7	 	4	1	4	4	4		1	5	1	1	1	 	 	3	3	 	 	4	2	3	4	3	-0.816878557	-0.505770564	0	0.236480728
