rowlabel	sex	age	livharm1	ethgrp2	educat3	work	yrsarea	resyrago	tenure1	rural2	rubbcomm	vandcomm	poorhou	tcemdiqu2	tcwmdiqu2	causem	walkdark	walkday	homealon	tcviolent	tcsteal	wburgl	wmugged	wcarstol	wfromcar	wraped	wattack	winsult	wraceatt	crimerat	tcarea	tcneigh	bcsvictim	tcindwt
71309260	1	40	1	1	2	1	7	 	2	1	4	4	4	4	 	3	2	1	1	.387867271900177	.8775355219841	2	2	2	2	4	2	3	2	2	.682093262672424	-.836973905563354	0	2.24762082099915
71310140	2	33	2	1	4	1	4	 	2	1	4	4	3	3	 	5	2	1	1	-.123673357069492	.217512682080269	3	3	3	2	3	3	2	4	3	.540982902050018	-.721998870372772	1	1.45355582237244
71310180	1	46	2	1	3	1	7	 	2	1	3	3	3	1	 	5	2	2	2	.349921107292175	.886703550815582	2	2	2	2	3	2	3	3	2	.898665368556976	.660516738891602	0	1.4296932220459
71310300	2	20	3	1	2	2	6	 	2	1	3	3	3	1	 	4	3	1	1	 	 	2	3	 	 	3	3	3	3	4	-.516745746135712	4.02666521072388	1	1.7096483707428
71312100	2	52	1	1	1	2	7	 	4	2	3	3	3	1	 	5	4	3	4	2.59109425544739	1.40808081626892	1	1	1	1	1	1	1	1	1	3.46225666999817	-1.57668268680573	1	1.4021075963974
71312260	1	44	3	1	2	1	1	2	4	1	2	3	2	2	 	5	2	1	1	 	 	1	3	 	 	3	3	3	3	 	-.704553008079529	.337880104780197	0	.748468816280365
71314180	1	21	3	1	3	1	3	2	4	1	1	2	2	2	 	7	2	1	2	-1.02402985095978	.767662465572357	2	3	2	3	4	3	4	4	 	-.756866872310638	.237813636660576	1	2.53978252410889
71332100	1	84	1	1	1	2	7	 	1	1	4	4	3	4	 	4	3	2	1	-.702635228633881	-.529653608798981	3	2	4	3	4	4	4	4	2	-.713130831718445	-.482082158327103	0	1.32241225242615
71334060	2	45	1	1	4	1	5	 	2	1	4	4	4	3	 	2	1	1	1	-.265922009944916	-.831157982349396	3	3	4	3	3	4	3	4	3	-.079914778470993	-.645980775356293	0	1.24292242527008
71334140	2	23	2	1	3	1	2	1	4	1	3	3	1	3	 	5	2	1	2	-.631900668144226	.835430979728699	3	3	2	2	3	3	3	4	 	.236426308751106	1.00538456439972	0	1.62183725833893
71334220	1	29	3	1	4	1	1	2	4	1	2	3	1	3	 	5	2	1	2	-.515802562236786	.149744167923927	2	3	3	3	4	3	3	4	 	.130566194653511	.0456461049616337	0	3.08586382865906
71334260	2	32	1	1	4	1	3	 	1	1	4	4	4	4	 	5	2	1	2	-.0339281409978867	.365607738494873	2	3	3	2	2	3	3	4	 	-.970201015472412	.375800669193268	0	1.38057386875153
71334300	1	39	1	1	4	1	4	1	4	1	3	4	3	3	 	6	2	1	1	 	 	3	3	 	 	4	2	3	3	3	-.826986193656921	.287811905145645	0	1.48531794548035
